Field,Total_cnt,Diff_cnt,Diff_pct,Up_cnt,Up_pct,Down_cnt,Down_pct,Matched,Mean_Base,Mean_Test,Standard_dev_Base,Standard_dev_Test,Change_standard_dev,Char_str_count_Base,Char_str_count_Test,Blank_Base,Blank_Test
prevaddrcartheftindex,25000,995,3.98,404,1.616,437,1.748,24005,92.89928,93.0026,61.489702503253284,61.43384121735668,0.05586128589660433,0,0,154,154
prevaddrburglaryindex,25000,1004,4.016,402,1.608,448,1.792,23996,92.64796,92.75416,59.92730778006573,59.85749402591731,0.06981375414842006,0,0,154,154
prevaddrcrimeindex,25000,1002,4.008,414,1.656,434,1.736,23998,89.4576,89.53784,59.99818299833505,59.91095966059721,0.0872233377378393,0,0,154,154
addrmostrecentdistance,25000,972,3.888,428,1.712,390,1.56,24028,123.30704,123.19124,464.97282547429336,469.6344644721154,-4.661638997822024,0,0,154,154
addrmostrecentstatediff,25000,761,3.044,329,1.316,278,1.112,24239,-0.27948,-0.28168,0.671185352735357,0.6701791295814015,0.0010062231539554878,0,0,154,154
addrmostrecenttaxdiff,25000,781,3.124,328,1.312,299,1.196,24219,237760.64708,223647.46968,8759235.069308702,8244358.802244313,514876.26706438884,0,0,154,154
addrmostrecentmoveage,25000,1036,4.144,454,1.816,428,1.712,23964,74.93608,74.92632,105.7654529189244,105.81920101487616,-0.05374809595176089,0,0,154,154
addrmostrecentincomediff,25000,1011,4.044,427,1.708,430,1.72,23989,1429.40128,1384.56148,24830.41703256274,24829.183725539864,1.2333070228742145,0,0,154,154
addrmostrecentvaluediff,25000,1009,4.036,447,1.788,408,1.632,23991,2319.29308,2129.10664,127477.7399174258,126983.10131244191,494.6386049838911,0,0,154,154
addrmostrecentcrimediff,25000,1007,4.028,411,1.644,442,1.768,23993,-2.73152,-2.63456,48.9751745018643,48.90018623529424,0.07498826657005964,0,0,154,154
addrrecentecontrajectory,25000,15140,60.56,0,0.0,0,0.0,9860,-0.40428,-0.40532,0.378776746491617,0.3792636303337176,-0.000486883842100605,0,0,14893,14867
addrrecentecontrajectoryindex,25000,858,3.432,358,1.432,346,1.384,24142,1.44204,1.43712,2.243530932599619,2.2432611794285835,0.0002697531710356138,0,0,154,154
educationattendedcollege,25000,154,0.616,0,0.0,0,0.0,24846,0.14376,0.14376,0.3506647317086998,0.3506647317086998,0.0,0,0,154,154
educationprogram2yr,25000,154,0.616,0,0.0,0,0.0,24846,-0.81208,-0.81208,0.4778950870361452,0.4778950870361452,0.0,0,0,154,154
educationprogram4yr,25000,154,0.616,0,0.0,0,0.0,24846,-0.75072,-0.75072,0.6214723047784396,0.6214723047784396,0.0,0,0,154,154
educationprogramgraduate,25000,154,0.616,0,0.0,0,0.0,24846,-0.85192,-0.85192,0.34905813935756846,0.34905813935756846,0.0,0,0,154,154
educationinstitutionprivate,25000,154,0.616,0,0.0,0,0.0,24846,-0.83488,-0.83488,0.40963607504135335,0.40963607504135335,0.0,0,0,154,154
educationinstitutionrating,25000,154,0.616,0,0.0,0,0.0,24846,-0.28,-0.28,1.8170297344844495,1.8170297344844495,0.0,0,0,154,154
educationfieldofstudytype,25000,154,0.616,0,0.0,0,0.0,24846,-0.66192,-0.66192,1.1024894480163414,1.1024894480163414,0.0,0,0,154,154
